City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Russell,100,NZ,1545561187,99,-35.26,174.12,64.81,10.58
Minab,20,IR,1545559200,53,27.15,57.07,77,11.41
Asyut,24,EG,1545561194,49,27.18,31.19,68.05,8.9
Kosh-Agach,20,RU,1545561196,38,49.99,88.66,-17.18,3.31
Cabra,100,PH,1545561198,100,13.89,120.05,77.1,20.87
Hirara,75,JP,1545559200,83,24.8,125.28,73.4,18.34
Duldurga,24,RU,1545561204,63,50.67,113.59,-5.48,5.32
Terme,75,TR,1545558600,47,41.21,36.97,59,4.7
Salinas,12,EC,1545561208,94,0.49,-78.13,36.87,1.86
Guerrero Negro,0,MX,1545561211,100,27.97,-114.04,47.67,2.86
Sola,76,VU,1545561213,100,-13.88,167.55,81.78,11.92
Richards Bay,56,ZA,1545561217,86,-28.77,32.06,75.48,10.69
Karachi,0,PK,1545558900,15,24.87,67.03,78.8,4.7
Mogapi,20,BW,1545559200,46,-22.32,27.84,91.4,4.7
Oranjemund,68,NA,1545561223,92,-28.55,16.43,64.54,13.2
Sinnamary,100,GF,1545561226,100,5.38,-52.96,74.89,7.34
Zhigansk,20,RU,1545561228,50,66.77,123.37,-30.14,10.69
Shingu,75,JP,1545559200,76,33.72,135.99,57.2,10.29
Chadan,44,RU,1545561232,59,51.29,91.58,-10.52,2.53
Itarema,92,BR,1545561234,100,-2.92,-39.92,73.23,6.67
Opuwo,8,NA,1545561236,30,-18.06,13.84,93.12,10.47
Simao,0,CN,1545561238,81,22.76,100.79,51.9,1.63
Thinadhoo,0,MV,1545561241,100,0.53,72.93,82.27,5.82
Sisimiut,92,GL,1545561243,100,66.94,-53.67,20.71,2.13
Celestun,8,MX,1545561245,100,20.87,-90.4,67.15,13.09
Mareeba,80,AU,1545559200,79,-16.99,145.42,84.2,11.41
Tautira,20,PF,1545559200,74,-17.73,-149.15,82.4,3.36
Benguela,24,AO,1545561250,91,-12.58,13.4,79.93,10.4
Natal,40,BR,1545559200,78,-5.81,-35.21,80.6,6.93
Puri,0,IN,1545559200,34,19.8,85.85,78.8,1.12
Yaring,20,TH,1545559200,70,6.87,101.37,86,8.05
Quatre Cocos,75,MU,1545559200,58,-20.21,57.76,86,18.34
Puerto Maldonado,76,PE,1545561272,92,-12.59,-69.19,76.6,2.8
Walvis Bay,0,NA,1545559200,50,-22.95,14.51,77,8.05
Notre-Dame-du-Lac,20,CA,1545558780,61,47.61,-68.8,21.02,18.34
Iquitos,0,PE,1545559200,94,-3.75,-73.25,73.4,2.3
Aklavik,90,CA,1545560100,76,68.22,-135.01,-5.81,2.24
Ouro Preto do Oeste,44,BR,1545561283,93,-10.75,-62.22,76.42,3.02
Bouar,0,CF,1545561287,28,5.94,15.59,86.05,13.38
Manzhouli,8,CN,1545561289,56,49.6,117.43,-7.1,7.9
Maku,0,IR,1545561294,53,39.29,44.45,37.27,3.87
Bathsheba,75,BB,1545559200,83,13.22,-59.52,75.2,20.8
Tacuarembo,0,UY,1545561300,90,-31.73,-55.98,72.28,4.88
Ambunti,56,PG,1545561302,88,-4.22,142.82,80.02,3.13
Barcelos,32,BR,1545561304,94,-0.97,-62.93,75.25,3.91
Guarapari,20,BR,1545559200,74,-20.67,-40.5,80.6,14.99
La Spezia,40,IT,1545560100,93,44.11,9.83,57.2,2.24
La Ronge,20,CA,1545559200,84,55.1,-105.3,1.4,6.93
Teresina,0,BR,1545559200,83,-5.09,-42.81,78.8,5.82
Pravdinskiy,90,RU,1545559200,85,56.06,37.86,19.4,11.18
Arrifes,20,PT,1545559200,82,37.77,-25.7,62.6,5.82
Yinchuan,0,CN,1545561321,65,38.48,106.21,5.73,3.31
Chekhov,90,RU,1545559200,92,55.14,37.45,19.4,11.18
Qasigiannguit,88,GL,1545558600,92,68.82,-51.19,23,12.75
Ancud,36,CL,1545559200,100,-41.87,-73.83,42.8,2.24
Flinders,0,AU,1545561332,90,-34.58,150.85,58.42,3.02
Swellendam,12,ZA,1545559200,51,-34.02,20.44,84.2,10.29
Orlik,48,RU,1545561336,56,52.51,99.83,1.27,7.11
Port-Gentil,75,GA,1545559200,83,-0.72,8.78,84.2,12.75
Kendari,44,ID,1545561340,74,-3.99,122.52,79.62,6.38
Beringovskiy,44,RU,1545561342,100,63.05,179.32,-6.38,13.94
Mundargi,0,IN,1545561347,56,15.22,75.9,81.46,6.82
Hwange,0,ZW,1545561349,37,-18.35,26.5,94.24,7.45
Sutysky,75,UA,1545559200,93,49.05,28.42,33.8,17.9
Noumea,56,NC,1545559200,78,-22.28,166.46,78.8,4.7
Wasilla,1,US,1545559080,87,61.58,-149.44,23,3.36
Bambous Virieux,75,MU,1545559200,58,-20.34,57.76,86,18.34
Lorengau,56,PG,1545561363,100,-2.02,147.27,79.35,7.67
Mawlamyine,36,MM,1545561366,67,16.49,97.63,84.25,2.42
Hamada,75,JP,1545559200,66,34.9,132.08,53.6,6.93
Ambulu,44,ID,1545561370,100,-8.35,113.61,76.47,5.82
Irbeyskoye,20,RU,1545561372,82,55.64,95.45,-5.44,9.84
Shelburne,90,CA,1545559200,86,44.08,-80.2,30.2,2.24
Izumo,75,JP,1545559200,81,35.37,132.75,51.8,5.82
Gaeta,40,IT,1545558900,82,41.22,13.56,60.8,1.9
Kawalu,88,ID,1545561380,99,-7.38,108.21,67.87,2.08
Havoysund,75,NO,1545560400,100,71,24.66,33.8,14.99
Tiebissou,90,CI,1545555600,94,7.16,-5.23,75.2,4.7
Portland,0,AU,1545561387,89,-33.35,149.98,51.76,2.57
Ishigaki,75,JP,1545559200,88,24.34,124.16,71.6,26.4
Pinsk,56,BY,1545561391,86,52.11,26.1,29.08,18.63
Inhambane,75,MZ,1545555600,69,-23.87,35.38,80.6,5.82
Zatoka,90,UA,1545559200,74,49.85,23.68,35.6,11.18
Boende,12,CD,1545561402,64,-0.28,20.88,86.55,1.57
Yegorlykskaya,92,RU,1545561404,97,46.56,40.65,45.33,16.33
Mongo,8,TD,1545561406,21,12.18,18.69,86.95,6.04
Khasan,0,RU,1545561408,100,42.43,130.64,19.68,15.95
Magugu,48,TZ,1545561410,90,-4.02,35.77,74.4,2.35
Thunder Bay,90,CA,1545559200,100,48.41,-89.26,21.2,12.75
Misratah,76,LY,1545561415,83,32.38,15.09,64.99,13.49
Beloha,0,MG,1545561417,30,-25.17,45.06,86.82,13.94
Awjilah,0,LY,1545561419,49,29.14,21.3,67.38,8.39
Libreville,40,GA,1545559200,83,0.39,9.45,84.2,5.82
Heidelberg,12,ZA,1545561423,25,-26.5,28.36,90.6,11.18
Finnsnes,75,NO,1545560400,92,69.23,17.98,32,3.09
Rafai,0,CF,1545561427,41,4.95,23.92,86.95,10.63
Whitehorse,90,CA,1545559200,84,60.72,-135.06,-2.21,2.42
Mankono,0,CI,1545561432,68,8.06,-6.19,85.24,5.37
Fereydunshahr,0,IR,1545561434,28,32.94,50.12,38.58,4.36
Axim,0,GH,1545561438,93,4.87,-2.24,85.38,6.82
Arkhangelsk,20,RU,1545559200,84,64.54,40.54,5,6.71
Dong Hoi,20,VN,1545561442,99,17.48,106.6,75.25,11.59
Yafran,0,LY,1545561445,61,32.06,12.53,57.48,5.77
Kharp,24,RU,1545561447,41,66.82,65.8,-26.36,9.13
Manicore,24,BR,1545561449,86,-5.81,-61.3,78.9,2.91
Port Augusta,0,AU,1545559200,33,-32.49,137.76,77,5.82
Hovd,32,MN,1545561455,55,48.01,91.64,-14.53,2.01
Tilichiki,88,RU,1545561457,70,60.47,166.1,-10.34,9.17
Megion,0,RU,1545559200,65,61.04,76.11,-34.61,4.47
Bubaque,0,GW,1545561461,93,11.28,-15.83,82.23,10.85
York,75,GB,1545560400,100,53.96,-1.08,44.6,1.12
Igarka,76,RU,1545561466,44,67.47,86.57,-27.49,13.65
Hofn,0,IS,1545561468,100,64.25,-15.21,37.45,5.44
Semirom,0,IR,1545561470,17,31.41,51.57,43.39,5.32
